check_id,old_title,new_title,title_changed,desc_changed,remediation_changed
agent001,Missing Human-in-the-Loop,Ensure Human-in-the-Loop is configured,True,True,True
agent002,Autonomous Action Risk,Ensure protection against Autonomous Action,True,True,True
agent003,Agent Loop Detection,Ensure protection against Agent Loop,True,True,True
agent004,Multi-Step Attack Chain Risk,Ensure protection against Multi-Step Attack Chain,True,True,True
agent005,Delegation Without Authorization,Ensure Authorization is configured for Delegation,True,True,True
agent006,Tool Selection Manipulation,Ensure protection against Tool Selection manipulation,True,True,True
agent007,Agent Memory Poisoning,Ensure protection against Agent Memory poisoning,True,True,True
agent008,Goal Hijacking,Ensure protection against Goal hijacking,True,True,True
agent009,Reward Hacking,Ensure protection against Reward hacking,True,True,True
agent010,Agent Impersonation,Ensure protection against Agent impersonation,True,True,True
agent011,Unbounded Tool Call Count,Ensure Tool Call Count is bounded,True,True,True
agent012,Agent Persistence Risk,Ensure protection against Agent Persistence,True,True,True
agent013,Capability Accumulation,Ensure protection against Capability accumulation,True,True,True
agent014,Indirect Prompt Injection via Tools,Ensure protection against Indirect Prompt Injection via Tools,True,True,True
agent015,Agent Data Hoarding,Ensure protection against Agent Data hoarding,True,True,True
agent016,Unauthorized External Communications,Ensure External Communications are authorized,True,True,True
agent017,Agent Self-Modification,Ensure Agent self-modification is prevented,True,True,True
agent018,Multi-Agent Coordination Risk,Ensure protection against Multi-Agent Coordination,True,True,True
agent019,Agent Resource Exhaustion,Ensure protection against Agent Resource exhaustion,True,True,True
agent020,Missing Agent Audit Trail,Ensure Agent Audit Trail is configured,True,True,True
agent021,Excessive Tool Count,Ensure Tool Count is bounded,True,True,True
agent022,Missing Tool Annotations,Ensure Tool Annotations are configured,True,True,True
agent023,Conflicting Tool Names,Ensure Tool Names do not conflict,True,True,True
agent024,Unrestricted Tool Output,Ensure Tool Output is restricted,True,True,True
agent025,Missing Sampling Capability,Ensure Sampling Capability is configured,True,True,True
ai001,[AI] Tool Poisoning Analysis,[AI] Tool Poisoning Analysis,False,True,True
